"n_obs" "vglm_cl_N" "vglm_cl_LB" "vglm_cl_UB" "em_cl_N" "em_cl_LB" "em_cl_UB" "em_el_N" "em_el_LB" "em_el_UB" "em_pel_N" "em_pel_LB" "em_pel_UB"
130 188.754974281786 119.74425331798 257.765695245592 188.252675451148 119.537483261589 256.967867640708 181.54499514535 146.595879265326 321.568507411697 181.120895826545 146.561571607559 308.231973952325
127 220.120034727485 98.9482216813166 341.291847773654 219.095397493256 105.70056928328 332.490225703233 207.94621430771 150.625294304793 473.06032555986 204.855099756741 150.357849100846 394.990180925582
122 175.963200980789 89.5771434999416 262.349258461637 174.904885778328 79.408077638303 270.401693918353 164.692156891157 132.973162642844 421.195901492879 163.52942506393 132.903361461715 314.664751161194
122 151.386369070745 110.204464819283 192.568273322206 151.070750142838 107.250765432242 194.890734853434 145.899235973973 127.99776415594 243.648298780623 145.677965958947 127.983521443055 226.42210459579
123 151.309196391423 120.648991405883 181.969401376963 151.185022644467 119.828109910369 182.541935378566 147.878512643188 130.652123811842 201.767182928949 147.830529676194 130.648843376604 200.310524936302
131 176.096092908045 117.20603936367 234.98614645242 175.659946553424 118.317774355125 233.002118751723 168.975007768081 141.809134496816 296.744553157647 168.489503745151 141.772193830884 275.997695751689
122 143.894508015163 121.394348473322 166.394667557005 143.826499131552 121.054048699427 166.598949563676 141.387286867089 127.807591625706 177.353421528069 141.352643892935 127.806321336628 176.807293163312
125 198.701153574783 111.182634027663 286.219673121902 198.059343449766 121.488790138161 274.629896761371 190.050528196841 145.37586548385 365.432258373759 188.468649193372 145.218481900963 331.521221613888
121 195.848866419019 101.007359401732 290.690373436306 195.060930780113 90.5425765695628 299.579284990663 186.079109260922 140.667239820843 392.620517956016 184.87102514789 140.566148574878 352.338648490755
126 150.065477781149 126.287017386128 173.843938176169 149.992384168218 126.204276163653 173.780492172782 147.526560956655 132.90373732405 184.853819685538 147.509253742909 132.902861498675 184.449371168054
125 216.098699739605 26.7936729193222 405.403726559887 212.461263520436 25.3490441182848 399.573482922588 189.578387598797 139.836293508716 932.479456453913 186.162325608116 139.711758620443 446.246986505435
