"B_N_Mh" "B_N_Mhb" "C_N_Mh" "C_N_Mhb"
187.240053893427 213.281312815491 228.8502103755 196.844637194525
164.932692194844 177.870227601953 219.359496433957 180.058801182622
204.486923657982 215.432278812677 305.264415780438 210.913386134101
180.587458694592 199.184245228231 301.27963151461 230.476185565103
185.186825713803 215.315176610335 236.403307880766 207.850485256479
198.857422674252 295.805937076981 291.440138423091 259.48650306265
176.757002051911 200.334540903671 310.586526530142 210.892055228893
158.83839877493 159.695309794362 178.639129003012 156.06469402806
166.314039706666 186.327141936926 244.175816480848 191.928891441943
168.281670512461 182.355952214981 214.787042869638 182.833407021354
168.539854165704 182.364085438801 229.881987012595 189.530485918141
167.65192668537 185.316009100793 213.537476391631 178.747939252479
165.171492893783 178.416445616636 210.979071877611 174.672795238855
171.710494328992 204.184090621846 252.6909671383 208.673445866988
174.23045350016 204.703907462282 224.873445197509 192.098788133186
169.794851269143 193.634452092357 228.641608715435 198.961325328114
174.718547510868 198.62839226322 267.144347842034 201.909654867572
181.315506471212 191.119578594014 247.925024071662 194.18816891602
178.482615222012 193.584589901568 268.674184366261 206.501804431897
173.323925919295 188.773825243176 221.721461719452 185.708141908074
173.298662617919 176.380528638671 212.166366744963 177.623135761362
179.852960418921 222.875013877082 270.020967069721 213.383837828849
185.793628280342 231.083805510323 240.587577006835 195.767682519744
166.48889206293 172.117661769511 242.852113863606 183.874014949196
213.597492202461 254.146843757504 314.570803870973 241.146809619069
162.743086963968 174.181643195151 204.561203867534 174.221158167572
180.607285567272 234.732086749743 304.363517250336 242.668863307057
169.724222213377 178.982289357704 215.943411081579 173.98515995808
170.249140643242 184.264299026439 233.698874596572 197.736462430791
191.946130761689 272.302495494266 257.002699603198 234.943538690252
173.125782774107 214.584373054052 218.292948075439 186.527550383744
162.28715561491 177.969352619708 195.709460330027 174.461790022707
167.65518277528 181.692046578063 251.077699749543 195.251404365904
177.386151757186 190.762343028506 257.981256020796 201.251476368212
168.394082733229 198.218877155301 264.486768948377 210.029029848102
171.333281577182 199.85556893737 244.772283140917 193.664439778142
175.698388071316 196.146749589782 263.550109591924 204.507092250268
148.764829393299 159.059988105641 179.544497702913 163.111918535422
186.472098709325 215.870971679945 238.948442265875 197.977527559036
194.992234520576 218.977300873956 236.281281143076 205.653492378025
160.518734862869 171.792798247395 204.85655099465 171.690303920674
168.312560379647 187.077142375838 251.926522930709 185.575460092541
176.096056113189 198.685733460598 310.668360877115 209.050977406747
174.725842724766 186.562579873705 234.166348562266 187.106192775043
187.886669802606 212.792621361418 238.165955851073 193.770065909659
180.333096447587 205.079822493788 255.205055231376 213.655088883731
181.131699872729 222.073691791815 280.358074909853 222.835610740216
173.203659438423 201.476214120527 264.678751227505 208.57408937187
178.527284129601 204.884851540345 306.656505822726 218.877460221769
186.631869689618 199.155970347032 222.775250980705 179.905521561865
177.290376270749 193.694704169612 273.590056819201 197.20953647217
159.143202500403 172.56923437037 224.751935835762 179.875608237616
192.461209974647 223.140314790848 259.228401775625 209.888386802863
184.312289524886 194.990566286095 275.372682285636 197.956100587128
182.61571840892 197.100114560157 275.849845842624 202.24724758133
172.306171406797 197.555335077427 223.191941927374 191.202965475957
164.335512793371 177.644541005148 224.604563406123 182.091424352992
178.244327306638 227.456019123227 265.138925552536 212.49669263608
168.628471462001 177.109198104873 208.568673966934 178.447322213876
175.328252099875 187.785049240286 242.623329650616 208.185857576032
175.303471062013 187.376926648173 215.095779720965 181.91785709486
167.856021738518 174.890694188825 205.345935249044 175.081047086817
167.382693017839 176.684331075185 223.918484717357 187.061147547934
216.037265940076 291.713368442328 360.178485963581 268.015843099371
167.520467522942 187.035837001931 244.869902539065 196.476105682516
163.709230528691 184.506415233993 218.999848498485 188.985414259357
157.658426749193 164.593540101536 213.029145203987 163.726199585199
186.385653206642 234.102250648674 244.678587198809 222.541208766735
173.221334030973 190.580065240802 224.758249141862 188.623427828687
173.087727842223 200.761207227673 226.005424705787 193.875219931985
163.213395396805 175.218903177211 217.803843229868 179.053084899208
158.745181015926 164.017221525808 263.259163883526 182.307993204987
177.000483742934 215.120868170437 231.614640715833 191.034855294112
162.862770478033 173.465921922386 199.99287536271 169.106456220114
166.78696000178 177.656834660054 219.952644219692 182.712449987029
189.924125022914 220.303241815999 303.602191820144 218.79481428688
180.84675847179 210.054862654875 270.705100598355 219.217454617106
161.681121192989 178.674712455435 228.163765772345 178.635805180859
159.668869771558 173.343962510772 221.119079881576 184.233665840994
