"vglm_cl_N" "em_cl_N" "em_el_N" "em_pel_N" "vglm_cl_norm" "em_cl_norm" "em_el_elr" "em_pel_elr"
404.386757585737 402.849272045899 388.973383803408 388.786108422685 0.0555869337230116 0.0372024753558269 0.0163639400107058 0.0172705741038044
303.326783083797 303.003071752813 297.479649691883 297.479645102401 -3.16744525745417 -3.21503740976807 4.3385062139173 4.34930816456699
439.863983469099 437.561216777038 420.889515669667 419.916186731055 0.362118717074089 0.361603545828093 0.0605488903511286 0.0563870880801005
402.082177710576 400.675153840146 387.25541946906 386.798377927205 0.0248843220052953 0.008565547970244 0.0230920421959127 0.0254306032329623
497.048246001904 494.254699555034 476.194556969291 475.220592657497 0.727077366133683 0.713266035748467 0.683894772440453 0.676291041869717
367.28249281216 366.390828266819 355.939972034734 355.93958209159 -0.609522351884459 -0.639146817907394 0.490987039784613 0.491960443801872
447.734078729058 445.806535109454 430.09708075502 429.507758904256 0.481932694093327 0.447711342780112 0.145336329072506 0.141508664228695
396.781622818005 395.344304556668 382.989599635547 382.800165284334 -0.0390258484970709 -0.0578072586524532 0.0442323936736102 0.0455145693581471
706.348221052845 692.156829408817 643.905097536028 620.632779753036 0.93116054393512 0.822182005885064 2.16716983699325 2.07442994998655
388.033971844502 386.333240228106 373.458644770111 373.161710257971 -0.158635877635345 -0.179597829383196 0.123022426957505 0.127704680734041
316.05122081465 315.327026309824 306.085708416927 306.080728614392 -1.9926770738209 -2.05891892247553 2.06826419851677 2.07990038679873
363.399464569525 362.199191641242 350.170606133517 349.914202853537 -0.565857892347623 -0.545964451512244 0.458407223143695 0.470184865437659
522.526034729308 517.456575914745 491.406532036373 486.913124889379 0.732802649315717 0.675774224545644 0.634068314935575 0.606331295138261
463.812821530901 460.486979722756 438.465394066456 436.978221263594 0.458986990110965 0.419670833303143 0.133135304431562 0.126429536819614
418.718494003972 415.966925059604 395.995842582365 395.088617365043 0.167464413685277 0.142863372458067 0.000143797918099153 0.000695210601861618
372.203015889284 369.880261625431 352.417644474191 352.117148312509 -0.337174400805158 -0.37872569461638 0.280388883816613 0.289101244858102
338.156554267845 337.637413557827 330.475687715169 330.475683829338 -1.73923936746385 -1.74916799545526 1.97643631489518 1.98048858812217
418.896588965017 416.696501297906 401.426259936259 400.857472358965 0.192574218158644 0.176830046691923 0.000968055889643438 0.000566925403290952
407.75713731396 405.988262232919 390.899299352686 390.648742399513 0.0853779863721063 0.0650042697897864 0.00811856601467298 0.00872794939186861
544.931544732752 533.631826066032 497.292497367907 493.276856723684 0.650481967000995 0.615980719370098 0.577144358217993 0.558689091807537
638.065257130462 623.066035628138 581.030385274086 576.9281718114 0.856946261794043 0.775397627183581 1.70345703692283 1.68725389903375
488.299923589398 483.277573348884 460.132312784868 458.965936760925 0.532841678266151 0.48804062067724 0.286179788862228 0.280381278748791
538.779907953037 525.982714448777 477.412548947621 465.498895642776 0.552869776288602 0.512186169500165 0.258135311691149 0.217692903481748
314.15598211111 313.130439978243 302.8985005046 302.89849801807 -1.91077128159723 -1.96163828593027 1.77597808455539 1.78126966368245
330.076012478573 329.577973474501 322.281302017691 322.281269793515 -1.87228181831555 -1.87068692999543 2.1198007935418 2.12537801662438
294.219241982909 293.942860162404 289.372588979422 289.372582746578 -4.28572523937198 -4.33151277290423 5.74617152588553 5.75696665030682
312.773963071436 312.307934846844 304.96730144945 304.967115889278 -2.45388974361603 -2.3216732184325 2.8101952149832 2.8209900489046
423.001214277104 420.767582392978 403.030818980935 402.729514923997 0.229557376121683 0.215023925724635 0.00253227730036087 0.002201499194598
357.662347566868 356.188918114199 343.236101553156 343.03860950445 -0.624420762350115 -0.68087148712039 0.533403280513539 0.54451991863516
591.729338746271 584.155636097656 550.468459501166 546.719289313479 0.871470613329686 0.81575026087347 1.39213904042253 1.37275312175188
305.792693432544 305.948921542439 301.974997594282 301.974985945318 -4.77434296632048 -4.6757976418133 7.19604195724878 7.20248981437544
477.336767328317 472.621981665615 444.491826456231 442.012090732508 0.477758078458249 0.463684793197382 0.147381032425983 0.137254631662017
