"n_obs" "vglm_cl_N" "em_cl_N" "em_el_N" "em_pel_N" "vglm_cl_norm" "em_cl_norm" "em_el_elr" "em_pel_elr"
128 223.818792430327 222.675234499181 212.140117661797 210.587442154027 0.385407584523341 0.382637775607422 0.0681379033794656 0.0558221881917689
123 531.090280996367 515.600214343735 479.893132573724 389.255863675376 0.878944833058534 0.72359507136406 3.81665589914087 3.37667563530999
117 250.439983713319 247.254281679522 226.84824315282 214.985474759207 0.443032657865931 0.387370054133938 0.13224819146194 0.0607501631639025
115 205.249985665677 204.037699475715 192.30948174038 189.199882785246 0.0820871905974553 0.0572415279469584 0.0138523811690447 0.0355946775471239
136 226.309526946564 225.242752140906 213.584942395022 209.496442918792 0.428994450188813 0.371018663740125 0.091375470619596 0.0541753320644602
124 177.171246550734 176.428460736082 167.134680379609 166.213311250169 -0.568064300587007 -0.582070080595782 0.515124129411788 0.617721113970447
131 190.066489481862 189.618195799982 183.049672329061 182.420137685991 -0.286752118531928 -0.305520669154963 0.214558791642958 0.244574135386074
127 389.054333891943 382.162802009758 355.854645409915 308.246885799801 0.880294783316106 0.815878984350907 2.49277583918251 2.09818269647963
134 242.192268224175 240.470914601856 226.967892002096 222.701664468486 0.553374121153924 0.572887252361588 0.279062812040138 0.229213167556509
137 175.994937937312 175.562663809207 168.432650083619 167.665755649346 -0.84168714307537 -0.801535346748269 0.832694543883008 1.01129297651983
133 194.74267304132 193.932638606263 184.711000931624 183.151941744619 -0.121634205639658 -0.140382729297222 0.126243085719807 0.177970777701603
135 210.181556686028 209.375436837344 200.337793720092 198.222324096236 0.212607767465455 0.191329509064136 0.000308979454757718 0.000985810285101252
121 347.093216030278 339.150378012255 308.814504076416 264.686921943348 0.6993095485095 0.785906706368891 1.09626106419591 0.764318489433208
116 202.624876431016 200.637648781573 186.262873670449 182.216833058456 0.0366955279258912 0.00882566417463089 0.04062892122829 0.094285901908961
125 164.185760850466 163.732138820205 156.646639650035 155.5549876216 -1.24525020140973 -1.13381594077564 1.23725338730378 1.63336515330525
134 285.918043140512 283.580700070706 268.051876397802 260.96617668803 0.827005490948224 0.768277440767682 1.26698310958818 1.17773164429946
135 167.0353235491 166.811572775328 161.781664626539 161.362229436583 -1.58048238669286 -1.65789923033548 1.70586919192419 1.93524430073239
128 195.730959834088 194.840924608633 185.107196350254 183.401284268626 -0.09003161097955 -0.108000269759473 0.10003773845483 0.144945255656012
131 227.97862838619 226.172530219081 209.934824950414 201.724427109901 0.358664173615567 0.305103347199622 0.0355179486900852 0.00237620764096391
133 246.273593881584 244.342490686802 229.999882155597 227.787569810041 0.56587394927727 0.510375743358739 0.320770412542515 0.296921673039833
129 145.509854789398 145.474072559056 143.591867894179 143.586775721572 -6.39744507333376 -6.29760221587672 9.31364002014016 9.47536799103273
126 881.215108196928 785.074000330893 646.921556892025 267.243545347632 0.532303967510215 0.50145954298826 1.69869047775251 0.64548918496871
129 236.09872087243 234.465056716246 221.948372223445 219.743251550877 0.491104430882892 0.445651608466771 0.182605974923945 0.160716223447025
124 241.392657134457 239.173288900683 220.875146962653 209.93192541795 0.43395083076172 0.387427700768506 0.105134459222882 0.0364292806295907
124 255.656891141285 251.923337787009 231.632407781733 225.015885985897 0.492568700794591 0.450573696684794 0.211230712589213 0.162665385317041
130 196.05867172935 195.308421438509 187.388080368681 186.718664332731 -0.0941207195118258 -0.117577777250955 0.0906479770369515 0.106776848197114
126 153.1251647161 152.97082946091 148.924788343324 148.672177112124 -2.76225373916824 -2.8394737819478 3.16897336651346 3.53591884658158
132 229.220665730897 227.741262206987 215.00314393556 209.658307914842 0.425169406229538 0.390161741720904 0.0939777113890159 0.0493889209403733
120 277.222252263803 272.902216738048 251.11065913226 238.316918640418 0.577298194026156 0.597100633496838 0.421031330224196 0.32032019946837
127 404.619252439044 396.578489455365 363.66146446674 303.63156029637 0.81868410955661 0.833776403827802 2.21763067763095 1.77962724970621
129 207.945930154697 207.363402467013 200.299690243138 199.31224456722 0.18258101415968 0.164088277838056 0.000253222425953936 -5.35488638888637e-05
125 228.604480968193 227.27100192424 215.799562388005 214.597828363076 0.41689954878088 0.450750841072993 0.0987493497207197 0.0888057520137409
134 202.49501163675 201.875495681493 194.209808308627 193.316271540164 0.0603902914930058 0.0433779277103885 0.0195755831925908 0.0288574898745537
126 284.324442204775 281.304093145443 261.877980360506 247.828610867528 0.689817995268184 0.697355760511925 0.730032911919807 0.589280008288142
120 200.877676005084 199.963617044601 190.128631520534 187.825722262237 0.0163865915537137 -0.000654807514237518 0.0338055915119639 0.0612731069106758
123 170.117899469069 169.726531125939 163.540528010843 163.008596051051 -1.01094575816977 -0.962557330775913 0.955329006286092 1.06443452766553
