"n_obs" "em_cl_N" "em_cl_loglike" "em_el_N" "em_el_loglike" "em_pel_N" "em_pel_loglike" "opt_cl_N" "opt_cl_loglike" "opt_el_N" "opt_el_loglike" "opt_pel_N" "opt_pel_loglike"
130 488.599148022591 -723.272704475859 488.599148022591 -723.272704475859 339.157111745687 -723.716533759279 554.314836899753 -87.280396961715 502.440673650077 -723.27190738403 341.45354372766 -723.716285145048
118 158.798040818645 -659.172140550719 158.798040818645 -659.172140550719 158.437357473545 -659.178486669219 165.422723541491 -93.5756412356194 159.058790135317 -659.172075999056 158.694810353407 -659.178420327835
121 214.247450465392 -669.497997883434 214.247450465392 -669.497997883434 202.664760192932 -669.58487925252 238.78543191783 -86.2702473489361 216.078075794337 -669.497730613988 203.732046294429 -669.584702564043
122 191.154559227133 -681.883701938686 191.154559227133 -681.883701938686 189.26849322536 -681.906913280446 202.360352954086 -92.9539108286135 191.822334175253 -681.883590865471 189.852667182821 -681.90681491469
132 209.164872015831 -732.355705090006 209.164872015831 -732.355705090006 199.546800808335 -732.447394315906 231.789239302535 -84.9205320918922 210.5925237271 -732.35545827062 200.351470496658 -732.447237819144
124 251.413074709941 -699.172883913761 251.413074709941 -699.172883913761 244.211945470946 -699.220903064034 270.712297492489 -98.4487059677807 253.241467371223 -699.172673781751 245.614715728463 -699.220737291012
135 175.231784217444 -770.254974445063 175.231784217444 -770.254974445063 175.050351603615 -770.258919009433 180.073971353306 -105.382249782675 267.247642039397 -772.294173154773 266.695705778662 -772.412364891826
135 173.74619940304 -748.40884050579 173.74619940304 -748.40884050579 172.482996158659 -748.43823691113 181.319883722678 -83.5375424901159 174.039164488748 -748.408764378489 172.730506852158 -748.438171210964
120 181.942495769284 -659.590634341281 181.942495769284 -659.590634341281 178.326661250504 -659.63453337974 196.126748110147 -82.2807929715806 182.722614656729 -659.590479623338 178.929112418413 -659.634407171004
114 139.001405071776 -635.403957073339 139.001405071776 -635.403957073339 138.936978714832 -635.405151059353 142.567759641791 -93.0167638193594 139.09250587504 -635.403929817583 139.03647016091 -635.405118303222
